b_id,year,b_empl_w,b_loans_w,b_assets_w,b_cash_w,b_equity_w,b_deposits_w,b_net_income_w,b_z_score_w
DEFEB13222,1989,,2390356.5,3889081.3,57598.953,191228.53,3568831.3,9215.832,.7320863
DEFEB13611,1989,,82942.492,1664609.8,19583.645,67966.766,1594339,1151.979,1.3970999
DEFEB13181,1989,,426232.25,1623138.5,39167.289,130173.63,1452645.6,2303.958,1.0922917
DEFEB13087,1989,,1149675.1,2041306.9,130173.63,102526.13,1732576.5,,
DEFEB13544,1989,,390520.91,839792.75,32255.414,43775.203,770674,,
DEFEB13227,1989,,16126555,44721556,435448.06,1484325,16345431,79486.555,1.5245836
DEFEB13111,1989,,3913273,5339423,2303.958,211964.14,4725418,9215.832,.65227187
DEFEB13960,1989,,1179626.5,2318933.8,78334.578,69118.742,2133465.3,4607.916,1.6098881
DEFEB13437,1989,,4367152.5,7164158,264955.19,328314.03,6135440.5,12671.77,.93496472
DEFEB13102,1989,,1204970.1,1259113.1,5759.8955,65662.805,1148523.1,2303.958,1.1231651
DEFEB13525,1989,,506870.78,869744.19,40319.266,32255.414,734962.63,2303.958,1.5701283
DEFEB14967,1989,,142845.41,211964.14,5759.8955,15551.717,200444.36,0,.73937446
DEFEB13842,1989,,1572451.4,2762445.8,114045.93,92158.328,2407636.3,5759.8955,.89719903
DEFEB13866,1989,,3474368.8,5721880,87550.406,210812.17,4894759,,
DEFEB13187,1989,,638196.38,719986.94,575.9895,32255.414,664691.94,1151.979,.46674499
DEFEB13604,1989,,20045588,22108782,3455.9373,496502.97,,46079.164,1.8969375
DEFEB13643,1989,,633588.5,1075948.5,35711.352,42623.227,983790.13,1151.979,1.0146316
DEFEB13109,1989,,23846544,44721556,427384.22,1484325,16345431,80638.531,.33532694
DEFEB13920,1989,,2029787.1,4007735.3,168188.94,183164.67,3416770,8063.8535,1.5854788
DEFEB13116,1989,,604789,1315560.1,69118.742,62206.871,1231465.6,,
DEFEB13257,1989,,82942.492,209084.19,4607.916,25343.539,182012.69,1151.979,.99367172
DEFEB13624,1989,,842096.69,3279684.5,38015.309,120957.8,3137991,1151.979,.26380512
DEFEB13863,1989,,1775199.8,3558463.3,137085.52,168188.94,2886859.5,8063.8535,1.8288552
DEFEB44562,1989,,3867193.8,6134288.5,195836.44,270715.09,4800297,16127.707,1.5483788
DEFEB13418,1989,,1183082.5,1797087.4,50687.078,56446.973,1626594.5,3455.9373,1.1225067
DEFEB44016,1989,,1330535.9,10106312,16127.707,478071.31,5015717,44927.184,1.7864774
DEFEB13520,1989,,3060808.3,6130832.5,74878.641,114045.93,2618448.5,3455.9373,1.040243
DEFEB13917,1989,,930799.06,1520612.4,51839.059,73726.656,1353575.4,5759.8955,1.3279346
DEFEB13328,1989,,23846544,44721556,41471.246,1484325,15558629,80638.531,.6177516
DEFEB15378,1989,,653172.13,1411174.4,12671.77,73726.656,1322472,1151.979,.35313079
DEFEB13309,1989,,496502.97,855920.44,23039.582,28799.477,743026.5,1151.979,1.1087499
DEFEB13297,1989,,480375.28,670451.81,24191.561,31103.436,617460.75,2303.958,1.1592628
DEFEB41223,1989,,365177.38,503414.84,3455.9373,32255.414,451575.78,1151.979,.61138046
DEFEB13172,1989,,10864315,18375218,291450.72,344441.75,7775858.5,9215.832,.11493313
DEFEB14019,1989,,3977783.8,17079242,260347.27,574837.56,14664693,17279.686,1.058887
DEFEB41239,1989,,819057.13,1797087.4,87550.406,88702.391,1653090,13823.749,1.1812614
DEFEB13885,1989,,3136839,4785321,179708.73,164733,4117173.3,10367.812,1.571128
DEFEB42965,1989,,577141.5,1572451.4,16127.707,74878.641,1484901,0,.094577946
DEFEB13014,1989,,7106559,7704436,575.9895,206204.25,,18431.664,2.0162582
DEFEB13773,1989,,1924957,3614910.3,110589.99,107134.05,3264708.8,3455.9373,1.2342824
DEFEB13055,1989,,656628.06,3017033.3,4607.916,52991.035,2944458.5,0,.094577946
DEFEB13729,1989,,1555171.8,3108039.5,96766.242,140541.45,2786637.3,5759.8955,1.2355967
DEFEB13404,1989,,2644944,4113717.3,85246.453,164733,3550399.5,5759.8955,1.1398036
DEFEB14013,1989,,414712.47,625524.63,50687.078,24191.561,584053.38,1151.979,.93760562
DEFEB15367,1989,,375545.19,15557477,99070.203,671603.81,13665928,59902.91,1.4525231
DEFEB14006,1989,,605941,1075948.5,51839.059,50687.078,1001069.8,2303.958,1.5199764
DEFEB13112,1989,,23846544,44721556,435448.06,1484325,16345431,80638.531,2.0162582
DEFEB13839,1989,,1347815.5,2532050,85246.453,112893.95,2238295.3,6911.8745,1.7400362
DEFEB13264,1989,,1098988,1753312.1,80638.531,56446.973,1572451.4,4607.916,1.746107
DEFEB13075,1989,,329466,968814.38,36863.328,56446.973,862832.31,,
DEFEB13796,1989,,870896.19,1397350.6,57598.953,49535.102,1251049.3,1151.979,1.0882839
DEFEB13476,1989,,1122027.6,1701473.1,57598.953,62206.871,1589731.1,3455.9373,1.4508893
DEFEB13198,1989,,232699.77,352505.59,17279.686,17279.686,328314.03,1151.979,.62071103
DEFEB13613,1989,,353657.56,456183.72,1151.979,50687.078,182012.69,9215.832,1.4251245
DEFEB13444,1989,,2310870,3811898.8,170492.91,146301.34,3466305,14975.728,1.8191615
DEFEB46445,1989,,10936889,27330704,266107.16,533366.31,13479307,20735.623,1.5703321
DEFEB13192,1989,,183164.67,327162.06,10367.812,20735.623,302970.5,0,.17447799
DEFEB13416,1989,,444663.91,797169.5,26495.518,41471.246,722290.88,2303.958,1.8559803
DEFEB13041,1989,,125565.72,578293.5,4607.916,27647.498,543734.13,0,.28082621
DEFEB13594,1989,,384761,1171562.8,40319.266,76030.617,1088620.3,0,.10591698
DEFEB41246,1989,,3887929.3,4362544.5,575.9895,215420.08,4036534.8,10367.812,.85975671
DEFEB13298,1989,,557557.88,763762.13,1151.979,34559.371,694643.38,0,.28548601
DEFEB13266,1989,,225787.89,383609.03,13823.749,26495.518,349049.66,,
DEFEB13083,1989,,322554.13,643956.31,18431.664,23039.582,557557.88,1151.979,.93948817
DEFEB41431,1989,,105982.07,209084.19,5759.8955,15551.717,182012.69,0,1.3060304
